port,date,cruise_ship,cruise_line,arrive,depart
"Alesund, Norway",14-Jul-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",16-Jul-19,AIDAprima,AIDA Cruises,08:00,18:00
"Alesund, Norway",17-Jul-19,ms Prinsendam,Holland America,10:00,22:00
"Alesund, Norway",17-Jul-19,Azura,P&O Cruises,08:00,17:00
"Alesund, Norway",18-Jul-19,Sapphire Princess,Princess Cruises,08:00,17:00
"Alesund, Norway",18-Jul-19,Mein Schiff 3,TUI Cruises,08:00,18:00
"Alesund, Norway",18-Jul-19,Saga Sapphire,Saga Cruises,08:00,17:00
"Alesund, Norway",20-Jul-19,MSC Preziosa,MSC Cruises,09:00,16:00
"Alesund, Norway",21-Jul-19,Costa Pacifica,Costa Cruises,10:30,18:30
"Alesund, Norway",21-Jul-19,Zenith,Pullmantur Cruises,,
"Alesund, Norway",23-Jul-19,AIDAperla,AIDA Cruises,10:00,20:00
"Alesund, Norway",24-Jul-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",24-Jul-19,Amadea,Phoenix Reisen,,
"Alesund, Norway",25-Jul-19,ms Nieuw Statendam,Holland America,09:00,18:00
"Alesund, Norway",28-Jul-19,Oceania Marina,Oceania Cruises,07:00,23:00
"Alesund, Norway",29-Jul-19,Disney Magic,Disney Cruise Line,10:00,16:30
"Alesund, Norway",29-Jul-19,Mein Schiff 3,TUI Cruises,08:00,18:00
"Alesund, Norway",30-Jul-19,Star Pride,Windstar Cruises,07:00,15:00
"Alesund, Norway",31-Jul-19,AIDAprima,AIDA Cruises,07:00,17:00
"Alesund, Norway",31-Jul-19,ms Zuiderdam,Holland America,08:00,17:00
"Alesund, Norway",01-Aug-19,MSC Orchestra,MSC Cruises,10:00,18:00
"Alesund, Norway",01-Aug-19,Ventura,P&O Cruises,08:00,17:00
"Alesund, Norway",03-Aug-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",03-Aug-19,Zenith,Pullmantur Cruises,,
"Alesund, Norway",04-Aug-19,Viking Sky,Viking Cruises,,
"Alesund, Norway",05-Aug-19,Oriana,P&O Cruises,08:00,18:00
"Alesund, Norway",06-Aug-19,AIDAdiva,AIDA Cruises,14:00,19:00
"Alesund, Norway",06-Aug-19,MSC Preziosa,MSC Cruises,10:00,18:00
"Alesund, Norway",06-Aug-19,Mein Schiff 4,TUI Cruises,07:00,13:00
"Alesund, Norway",07-Aug-19,Queen Mary 2,Cunard,08:00,17:00
"Alesund, Norway",09-Aug-19,Mein Schiff 3,TUI Cruises,08:00,18:00
"Alesund, Norway",10-Aug-19,Mein Schiff 5,TUI Cruises,08:00,18:00
